gene_id,expected_LoF,observed_LoF,observed/expected_LoF,gene_LoF,gene_length,obs_lof,exp_lof,oe_lof,mu_lof,oe_lof_lower,oe_lof_upper,expected/gene_length,lower_oe_bound,LOEUF_LoF,posterior_distribution_mean_LoF
ENSG00000187634,4.717160475092434,6.0,1.2719516394833756,SAMD11,19696,22.0,24.538,0.89656,1.3068000000000001e-06,0.64,1.28,0.0002394983994258953,0.6672667266726673,1.896989698969897,1.2953386747790172
ENSG00000188976,16.046217954036216,17.0,1.0594396791004494,NOC2L,15106,43.0,41.785,1.0291,2.1537000000000002e-06,0.805,1.327,0.0010622413580058398,0.7248724872487249,1.5811581158115813,1.1191167510022044
ENSG00000187961,9.586916429784218,7.0,0.7301617836422045,KLHL17,5129,26.0,28.65,0.90749,1.6488e-06,0.664,1.259,0.0018691589841653767,0.4150415041504151,1.3663366336633664,0.8326889871374616
ENSG00000187583,7.36992346094285,3.0,0.40705985834162295,PLEKHN1,9369,25.0,31.069000000000003,0.80467,1.5693000000000002e-06,0.585,1.124,0.0007866286114785836,0.18541854185418544,1.0511051105110512,0.5423230263816512
ENSG00000188290,0.9715396239390819,2.0,2.0585881941603703,HES4,1211,6.0,3.53,1.6997,1.5251e-07,0.816,1.947,0.0008022622823609264,0.5280528052805281,1.9413941394139416,1.3313385408837053
ENSG00000188157,22.707029562603847,4.0,0.17615690282041957,AGRN,35994,29.0,90.87,0.31914000000000003,5.0007e-06,0.237,0.435,0.0006308559638440809,0.08680868086808681,0.40304030403040303,0.2201961285255177
ENSG00000131591,0.2902565375970028,1.0,3.4452281704966015,C1orf159,34544,7.0,10.077,0.69466,5.1189e-07,0.394,1.302,8.402516720617266e-06,0.38423842384238427,1.9383938393839384,1.266532919796947
ENSG00000162571,2.59274754521469,3.0,1.1570737018098645,TTLL10,24052,20.0,25.676,0.77894,1.2353e-06,0.547,1.132,0.00010779758628033802,0.48104810481048105,1.8935893589358936,1.2005268758317467
ENSG00000186891,2.5190205484207864,0.0,0.0,TNFRSF18,3184,8.0,6.3711,1.2557,2.7184000000000003e-07,0.719,1.88,0.0007911496697301464,0.020202020202020204,1.143114311431143,0.38382742334374337
ENSG00000186827,1.4464443021698759,0.0,0.0,TNFRSF4,2813,7.0,9.9223,0.70548,4.2223e-07,0.4,1.322,0.0005141998941236672,0.0334033403340334,1.5737573757375738,0.5739407201399802
ENSG00000078808,6.090588994609299,5.0,0.8209386652794064,SDF4,15124,6.0,15.495999999999999,0.3872,7.2768e-07,0.211,0.764,0.0004027101953589857,0.42704270427042706,1.6411641164116413,0.9617974729311857
ENSG00000184163,1.187837076313978,0.0,0.0,FAM132A,4277,11.0,10.895,1.0096,4.6266000000000004e-07,0.634,1.64,0.0002777266954206168,0.039003900390039,1.6655665566556657,0.6368449766706294
ENSG00000160087,3.5109243790719207,0.0,0.0,UBE2J2,19977,1.0,12.142000000000001,0.082362,6.0108e-07,0.028,0.391,0.00017574832953255848,0.014401440144014403,0.8482848284828484,0.2829404101014855
ENSG00000162572,4.831107569228488,7.0,1.4489431045970018,SCNN1D,11594,45.0,36.37,1.2373,1.7875e-06,0.973,1.586,0.0004166903199265558,0.7752775277527753,1.9257925792579258,1.3904502655776114
ENSG00000131584,7.939248269744674,1.0,0.1259565094860247,ACAP3,17234,17.0,43.538999999999994,0.39045,2.0147999999999998e-06,0.266,0.586,0.0004606735679322661,0.0448044804480448,0.5974597459745975,0.2519090392146006
ENSG00000169972,1.9405536416054556,5.0,2.576584276157091,PUSL1,3111,23.0,11.329,2.0302,5.5856e-07,1.332,1.977,0.0006237716623611236,0.9164916491649165,1.9663966396639665,1.551841647613787
